company,position,duration,type,description
Cognizant Technology Solutions,Associate,2022 Oct-Present,Full Time,"Currently working on a live project involving cutting-edge technologies, with hands-on experience in various modern tools and frameworks. Skilled in adapting to new technologies and delivering high-impact solutions in real-time environments. Integral role in ""Qualcomm Car to Cloud"" project, using AWS, Spring Framework, and micro services. Consistently delivered on-time, within budget, and exceeded client expectations using agile methodologies."
Cognizant Technology Solutions,Java Full Stack Developer (Intern),2022-Aug 2022,Internship,"Gained hands-on experience in IOT and web applications development using Java 8, Html & CSS, JavaScript, SQL, and Spring MVC during a comprehensive internship"
